id,train Number,train Departure Station,train Arrival Station,train Id,passenger Surname,passport Number,carriage Number,seat Number,departure Date
613,578ІС,Дніпро-Головний,Миколаїв,28,Олійник,АК130902,5,29,17-01-2025
27,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,АК663627,1,13,18-01-2025
462,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Олійник,ТК554151,5,3,18-01-2025
551,708РЕ,Тернопіль,Львів,16,Ткаченко,АК921478,2,18,19-01-2025
212,101ІС+,Київ-Пасажирський,Львів,3,Олійник,СК775874,5,19,19-01-2025
412,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Олійник,МК360094,5,23,19-01-2025
306,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,185112241,4,19,22-01-2025
86,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,АК114678,5,27,22-01-2025
405,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Сидоренко,АК429460,1,14,23-01-2025
200,203ІС,Львів,Івано-Франківськ,2,Поліщук,585850061,2,26,23-01-2025
277,101ІС+,Київ-Пасажирський,Львів,3,Поліщук,СК377353,1,1,24-01-2025
135,203ІС,Львів,Івано-Франківськ,2,Коваленко,АК196905,1,5,25-01-2025
324,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,ТК678239,3,12,26-01-2025
124,203ІС,Львів,Івано-Франківськ,2,Ткаченко,725867849,1,6,27-01-2025
183,203ІС,Львів,Івано-Франківськ,2,Шевченко,АК256500,1,27,27-01-2025
463,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Олійник,795499189,1,20,28-01-2025
470,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Кравченко,МК835590,2,26,28-01-2025
50,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,ТК152706,3,27,28-01-2025
284,101ІС+,Київ-Пасажирський,Львів,3,Клименко,МК864980,4,28,28-01-2025
17,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,449129472,5,25,28-01-2025
210,101ІС+,Київ-Пасажирський,Львів,3,Клименко,ТК665135,5,17,01-02-2025
182,203ІС,Львів,Івано-Франківськ,2,Ткаченко,АК152946,5,20,01-02-2025
369,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,365062733,2,24,04-02-2025
43,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,АК569052,2,30,04-02-2025
516,607РЕ,Миколаїв,Дніпро-Головний,9,Коваленко,120498143,3,15,04-02-2025
433,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Романенко,ТК746729,4,6,04-02-2025
475,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Поліщук,346659688,5,21,04-02-2025
530,710НЕ,Хмельницький,Київ-Пасажирський,11,Поліщук,468488944,4,5,05-02-2025
389,345НШ,Дніпро-Головний,Миколаїв,4,Бондаренко,203075310,3,24,06-02-2025
588,223ІС,Миколаїв,Київ-Пасажирський,23,Олійник,862152011,2,28,07-02-2025
122,203ІС,Львів,Івано-Франківськ,2,Кравченко,АК508291,4,22,07-02-2025
482,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Олійник,188175622,5,27,08-02-2025
184,203ІС,Львів,Івано-Франківськ,2,Кравченко,ТК822036,2,11,09-02-2025
447,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Романенко,758926922,2,24,09-02-2025
421,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Поліщук,352581284,4,8,09-02-2025
579,502НП,Львів,Одеса-Головна,21,Романенко,914589948,4,12,09-02-2025
114,203ІС,Львів,Івано-Франківськ,2,Бондаренко,159999213,5,17,09-02-2025
365,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,167744663,4,12,10-02-2025
426,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Бондаренко,МК485816,1,6,11-02-2025
222,101ІС+,Київ-Пасажирський,Львів,3,Сидоренко,АК704653,3,30,11-02-2025
604,445ІС+,Чернівці,Львів,26,Романенко,СК501844,4,9,11-02-2025
173,203ІС,Львів,Івано-Франківськ,2,Олійник,580386905,5,5,11-02-2025
332,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,ТК978174,3,26,12-02-2025
353,345НШ,Дніпро-Головний,Миколаїв,4,Кравченко,АК960341,4,6,12-02-2025
337,345НШ,Дніпро-Головний,Миколаїв,4,Кравченко,205247338,5,15,12-02-2025
547,456НШ,Львів,Київ-Пасажирський,15,Олійник,СК887521,1,30,13-02-2025
217,101ІС+,Київ-Пасажирський,Львів,3,Кравченко,983171336,3,4,13-02-2025
479,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Поліщук,ТК522418,3,11,13-02-2025
148,203ІС,Львів,Івано-Франківськ,2,Клименко,ТК800268,3,27,13-02-2025
474,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Олійник,922032410,1,1,14-02-2025
3,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,АК103695,4,23,14-02-2025
175,203ІС,Львів,Івано-Франківськ,2,Поліщук,842282957,1,1,15-02-2025
119,203ІС,Львів,Івано-Франківськ,2,Поліщук,721374030,1,27,15-02-2025
232,101ІС+,Київ-Пасажирський,Львів,3,Шевченко,158912189,1,28,16-02-2025
357,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,121441059,2,2,16-02-2025
37,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,170553055,2,22,16-02-2025
478,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Шевченко,ТК152881,3,25,16-02-2025
503,112НЕ,Полтава-Київська,Чернівці,6,Олійник,СК260708,5,28,16-02-2025
575,689НП,Київ-Пасажирський,Одеса-Головна,20,Сидоренко,МК518626,5,19,17-02-2025
568,678НП,Тернопіль,Хмельницький,19,Сидоренко,776311939,1,8,18-02-2025
382,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,507358741,3,18,18-02-2025
528,710НЕ,Хмельницький,Київ-Пасажирський,11,Романенко,561091878,1,12,19-02-2025
249,101ІС+,Київ-Пасажирський,Львів,3,Коваленко,461657354,4,26,19-02-2025
258,101ІС+,Київ-Пасажирський,Львів,3,Клименко,322533528,1,26,20-02-2025
228,101ІС+,Київ-Пасажирський,Львів,3,Поліщук,ТК590251,2,30,20-02-2025
493,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Поліщук,805958483,4,29,20-02-2025
388,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,ТК845462,5,10,20-02-2025
91,102ІС,Одеса-Головна,Дніпро-Головний,1,Коваленко,МК577411,5,28,20-02-2025
538,123НЕ,Одеса-Головна,Тернопіль,13,Шевченко,ТК241946,1,2,21-02-2025
34,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,МК573861,1,13,22-02-2025
318,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,338851601,1,22,22-02-2025
94,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,159592786,2,1,22-02-2025
295,101ІС+,Київ-Пасажирський,Львів,3,Олійник,819569633,1,7,24-02-2025
495,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Сидоренко,893297485,2,21,24-02-2025
452,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Кравченко,МК506920,4,3,24-02-2025
513,506Р,Київ-Пасажирський,Вінниця,8,Сидоренко,623906272,1,10,25-02-2025
570,678НП,Тернопіль,Хмельницький,19,Олійник,АК438345,1,8,26-02-2025
321,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,627899703,3,6,26-02-2025
65,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,175143455,4,6,26-02-2025
2,102ІС,Одеса-Головна,Дніпро-Головний,1,Кравченко,848775422,4,11,26-02-2025
341,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,СК624489,4,25,26-02-2025
521,709РЕ,Чернівці,Одеса-Головна,10,Сидоренко,СК752704,2,12,28-02-2025
449,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Ткаченко,531750792,1,9,01-03-2025
163,203ІС,Львів,Івано-Франківськ,2,Шевченко,АК945738,4,7,01-03-2025
126,203ІС,Львів,Івано-Франківськ,2,Поліщук,583150316,5,2,01-03-2025
314,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,214716493,3,12,02-03-2025
90,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,ТК583532,4,2,02-03-2025
392,345НШ,Дніпро-Головний,Миколаїв,4,Романенко,166289620,4,26,04-03-2025
574,689НП,Київ-Пасажирський,Одеса-Головна,20,Коваленко,МК951734,5,23,04-03-2025
177,203ІС,Львів,Івано-Франківськ,2,Шевченко,АК171607,1,30,05-03-2025
159,203ІС,Львів,Івано-Франківськ,2,Клименко,ТК343506,2,9,07-03-2025
465,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Сидоренко,АК780224,3,6,07-03-2025
265,101ІС+,Київ-Пасажирський,Львів,3,Олійник,488153739,1,12,08-03-2025
35,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,МК566325,4,10,08-03-2025
520,607РЕ,Миколаїв,Дніпро-Головний,9,Шевченко,МК877256,3,3,09-03-2025
194,203ІС,Львів,Івано-Франківськ,2,Кравченко,196134189,5,23,09-03-2025
336,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,239650753,1,5,10-03-2025
256,101ІС+,Київ-Пасажирський,Львів,3,Ткаченко,АК414708,2,22,10-03-2025
97,102ІС,Одеса-Головна,Дніпро-Головний,1,Коваленко,298550314,2,27,10-03-2025
416,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Кравченко,СК861121,3,6,10-03-2025
185,203ІС,Львів,Івано-Франківськ,2,Олійник,646595557,5,1,11-03-2025
565,556ІС+,Одеса-Головна,Запоріжжя-1,18,Кравченко,123951100,4,2,13-03-2025
428,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Поліщук,ТК749295,2,10,15-03-2025
207,101ІС+,Київ-Пасажирський,Львів,3,Сидоренко,ТК501339,4,25,15-03-2025
595,334ІС,Тернопіль,Дніпро-Головний,24,Клименко,627254904,1,25,16-03-2025
16,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,АК200841,4,7,16-03-2025
131,203ІС,Львів,Івано-Франківськ,2,Бондаренко,899608967,2,12,17-03-2025
563,556ІС+,Одеса-Головна,Запоріжжя-1,18,Романенко,МК419264,3,3,17-03-2025
576,502НП,Львів,Одеса-Головна,21,Кравченко,466399620,3,22,17-03-2025
529,710НЕ,Хмельницький,Київ-Пасажирський,11,Поліщук,МК791286,3,24,17-03-2025
259,101ІС+,Київ-Пасажирський,Львів,3,Романенко,670203743,4,12,17-03-2025
192,203ІС,Львів,Івано-Франківськ,2,Ткаченко,364275366,4,25,17-03-2025
281,101ІС+,Київ-Пасажирський,Львів,3,Кравченко,573661493,5,9,18-03-2025
169,203ІС,Львів,Івано-Франківськ,2,Ткаченко,618780407,5,25,19-03-2025
571,689НП,Київ-Пасажирський,Одеса-Головна,20,Коваленко,МК367625,5,29,19-03-2025
435,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Ткаченко,ТК500770,4,12,20-03-2025
347,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,103284345,2,10,22-03-2025
23,102ІС,Одеса-Головна,Дніпро-Головний,1,Поліщук,МК845674,3,26,22-03-2025
8,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,705977610,4,30,22-03-2025
54,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,ТК405175,2,7,24-03-2025
186,203ІС,Львів,Івано-Франківськ,2,Коваленко,СК334915,4,23,25-03-2025
333,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,204969367,2,13,26-03-2025
376,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,ТК704624,3,23,26-03-2025
606,667ІС+,Кривий Ріг-Головний,Івано-Франківськ,27,Шевченко,589212342,5,9,26-03-2025
140,203ІС,Львів,Івано-Франківськ,2,Шевченко,646528072,5,6,27-03-2025
508,405Р,Запоріжжя-1,Одеса-Головна,7,Шевченко,МК919413,2,6,28-03-2025
583,112ІС,Харків-Пасажирський,Полтава-Київська,22,Шевченко,878696037,4,20,28-03-2025
326,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,МК867537,4,22,28-03-2025
22,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,724480004,5,12,02-04-2025
220,101ІС+,Київ-Пасажирський,Львів,3,Романенко,471479503,1,6,03-04-2025
208,101ІС+,Київ-Пасажирський,Львів,3,Ткаченко,581098074,3,19,03-04-2025
457,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Олійник,МК180768,3,26,04-04-2025
371,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,МК131042,4,9,04-04-2025
461,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Романенко,МК688223,1,19,08-04-2025
128,203ІС,Львів,Івано-Франківськ,2,Ткаченко,842161595,2,15,09-04-2025
414,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Шевченко,265436070,3,7,09-04-2025
381,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,242547656,1,1,10-04-2025
323,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,181811635,4,2,10-04-2025
502,112НЕ,Полтава-Київська,Чернівці,6,Романенко,СК445874,4,29,10-04-2025
202,101ІС+,Київ-Пасажирський,Львів,3,Олійник,227752034,1,29,11-04-2025
13,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,СК276002,3,26,12-04-2025
506,405Р,Запоріжжя-1,Одеса-Головна,7,Олійник,ТК624138,5,22,12-04-2025
224,101ІС+,Київ-Пасажирський,Львів,3,Кравченко,ТК367822,1,9,13-04-2025
153,203ІС,Львів,Івано-Франківськ,2,Клименко,233243091,3,20,13-04-2025
319,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,247447599,3,6,14-04-2025
1,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,190206433,5,5,14-04-2025
70,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,СК394783,1,15,16-04-2025
68,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,933940882,3,12,16-04-2025
315,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,501052648,3,14,16-04-2025
79,102ІС,Одеса-Головна,Дніпро-Головний,1,Кравченко,500025377,4,4,16-04-2025
296,101ІС+,Київ-Пасажирський,Львів,3,Олійник,923136915,3,1,17-04-2025
331,345НШ,Дніпро-Головний,Миколаїв,4,Кравченко,805596718,1,23,18-04-2025
422,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Олійник,МК156153,2,7,18-04-2025
255,101ІС+,Київ-Пасажирський,Львів,3,Клименко,ТК986217,4,21,18-04-2025
594,334ІС,Тернопіль,Дніпро-Головний,24,Бондаренко,741995058,3,17,20-04-2025
519,607РЕ,Миколаїв,Дніпро-Головний,9,Сидоренко,822733550,1,4,21-04-2025
539,123НЕ,Одеса-Головна,Тернопіль,13,Кравченко,МК614312,5,18,21-04-2025
19,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,МК462988,4,15,22-04-2025
142,203ІС,Львів,Івано-Франківськ,2,Шевченко,999880568,1,20,23-04-2025
223,101ІС+,Київ-Пасажирський,Львів,3,Шевченко,СК609985,3,26,23-04-2025
427,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Романенко,МК697516,2,9,24-04-2025
26,102ІС,Одеса-Головна,Дніпро-Головний,1,Кравченко,400820701,2,25,24-04-2025
386,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,429606910,5,27,24-04-2025
213,101ІС+,Київ-Пасажирський,Львів,3,Олійник,853298061,5,24,25-04-2025
138,203ІС,Львів,Івано-Франківськ,2,Романенко,793410254,5,29,25-04-2025
6,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,427333155,1,30,26-04-2025
328,345НШ,Дніпро-Головний,Миколаїв,4,Бондаренко,МК744451,5,2,26-04-2025
160,203ІС,Львів,Івано-Франківськ,2,Кравченко,СК279996,1,14,27-04-2025
602,445ІС+,Чернівці,Львів,26,Поліщук,362826061,5,27,27-04-2025
29,102ІС,Одеса-Головна,Дніпро-Головний,1,Коваленко,МК410065,2,13,28-04-2025
455,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Романенко,900378769,3,5,28-04-2025
109,203ІС,Львів,Івано-Франківськ,2,Кравченко,831854884,1,10,01-05-2025
269,101ІС+,Київ-Пасажирський,Львів,3,Сидоренко,964667934,5,30,01-05-2025
607,667ІС+,Кривий Ріг-Головний,Івано-Франківськ,27,Бондаренко,СК583747,1,14,02-05-2025
316,345НШ,Дніпро-Головний,Миколаїв,4,Романенко,АК124963,3,22,02-05-2025
56,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,СК221126,1,24,04-05-2025
408,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Поліщук,СК884805,4,14,04-05-2025
141,203ІС,Львів,Івано-Франківськ,2,Романенко,501955128,2,2,05-05-2025
254,101ІС+,Київ-Пасажирський,Львів,3,Кравченко,МК296485,2,29,05-05-2025
534,102НЕ,Івано-Франківськ,Житомир,12,Романенко,АК630242,5,28,05-05-2025
63,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,АК259201,3,8,06-05-2025
598,590НП,Івано-Франківськ,Запоріжжя-1,25,Ткаченко,МК701714,3,15,06-05-2025
51,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,АК230767,5,24,06-05-2025
401,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Поліщук,820216257,5,16,07-05-2025
299,101ІС+,Київ-Пасажирський,Львів,3,Бондаренко,ТК881408,3,11,08-05-2025
360,345НШ,Дніпро-Головний,Миколаїв,4,Бондаренко,АК968166,4,30,08-05-2025
67,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,ТК318537,5,16,08-05-2025
614,578ІС,Дніпро-Головний,Миколаїв,28,Поліщук,АК491950,1,22,09-05-2025
179,203ІС,Львів,Івано-Франківськ,2,Олійник,АК500370,2,22,09-05-2025
535,102НЕ,Івано-Франківськ,Житомир,12,Романенко,261926752,4,4,09-05-2025
278,101ІС+,Київ-Пасажирський,Львів,3,Бондаренко,МК142153,2,28,10-05-2025
53,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,СК127878,4,7,10-05-2025
532,102НЕ,Івано-Франківськ,Житомир,12,Романенко,798851906,1,4,11-05-2025
150,203ІС,Львів,Івано-Франківськ,2,Кравченко,ТК512514,2,3,11-05-2025
57,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,937668697,3,10,12-05-2025
81,102ІС,Одеса-Головна,Дніпро-Головний,1,Кравченко,236806318,4,10,12-05-2025
308,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,АК304628,5,29,12-05-2025
198,203ІС,Львів,Івано-Франківськ,2,Поліщук,СК391479,3,12,13-05-2025
116,203ІС,Львів,Івано-Франківськ,2,Ткаченко,МК704017,4,12,13-05-2025
267,101ІС+,Київ-Пасажирський,Львів,3,Ткаченко,ТК529081,5,15,13-05-2025
77,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,704223592,2,14,14-05-2025
283,101ІС+,Київ-Пасажирський,Львів,3,Коваленко,ТК194346,5,3,14-05-2025
415,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Сидоренко,243348701,2,20,16-05-2025
250,101ІС+,Київ-Пасажирський,Львів,3,Поліщук,334883717,3,27,17-05-2025
601,445ІС+,Чернівці,Львів,26,Бондаренко,ТК949370,5,6,17-05-2025
204,101ІС+,Київ-Пасажирський,Львів,3,Ткаченко,406402281,3,25,18-05-2025
410,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Олійник,116789519,2,29,19-05-2025
290,101ІС+,Київ-Пасажирський,Львів,3,Кравченко,СК681388,4,1,19-05-2025
144,203ІС,Львів,Івано-Франківськ,2,Коваленко,МК216152,4,6,19-05-2025
564,556ІС+,Одеса-Головна,Запоріжжя-1,18,Кравченко,ТК837007,5,2,19-05-2025
573,689НП,Київ-Пасажирський,Одеса-Головна,20,Бондаренко,454144781,1,2,20-05-2025
62,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,861326999,2,24,20-05-2025
561,556ІС+,Одеса-Головна,Запоріжжя-1,18,Кравченко,221873403,1,29,21-05-2025
24,102ІС,Одеса-Головна,Дніпро-Головний,1,Бондаренко,ТК576103,1,7,22-05-2025
21,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,АК992313,5,20,22-05-2025
403,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Коваленко,МК716043,5,28,23-05-2025
264,101ІС+,Київ-Пасажирський,Львів,3,Сидоренко,МК302699,5,29,24-05-2025
552,708РЕ,Тернопіль,Львів,16,Коваленко,696904247,2,23,25-05-2025
514,506Р,Київ-Пасажирський,Вінниця,8,Поліщук,АК231183,4,15,25-05-2025
311,345НШ,Дніпро-Головний,Миколаїв,4,Кравченко,834045810,1,3,26-05-2025
234,101ІС+,Київ-Пасажирський,Львів,3,Бондаренко,104450642,5,28,26-05-2025
15,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,129595568,2,9,28-05-2025
487,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Сидоренко,869018265,3,18,28-05-2025
309,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,СК814083,4,9,28-05-2025
339,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,863764056,4,13,28-05-2025
379,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,219776078,5,8,28-05-2025
154,203ІС,Львів,Івано-Франківськ,2,Бондаренко,АК531903,4,11,01-06-2025
603,445ІС+,Чернівці,Львів,26,Романенко,СК767607,5,5,01-06-2025
147,203ІС,Львів,Івано-Франківськ,2,Кравченко,344614883,5,17,01-06-2025
370,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,546754943,1,20,02-06-2025
501,112НЕ,Полтава-Київська,Чернівці,6,Шевченко,ТК572907,2,23,02-06-2025
40,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,559316021,4,21,02-06-2025
137,203ІС,Львів,Івано-Франківськ,2,Олійник,АК725800,1,7,03-06-2025
425,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Шевченко,СК478851,1,15,03-06-2025
507,405Р,Запоріжжя-1,Одеса-Головна,7,Клименко,521376419,3,6,04-06-2025
80,102ІС,Одеса-Головна,Дніпро-Головний,1,Романенко,АК682347,1,22,06-06-2025
274,101ІС+,Київ-Пасажирський,Львів,3,Бондаренко,366789897,2,1,06-06-2025
52,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,МК681145,2,15,06-06-2025
459,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Ткаченко,521744996,3,7,06-06-2025
591,334ІС,Тернопіль,Дніпро-Головний,24,Ткаченко,538586817,4,28,08-06-2025
101,203ІС,Львів,Івано-Франківськ,2,Поліщук,420183535,2,30,09-06-2025
108,203ІС,Львів,Івано-Франківськ,2,Сидоренко,МК816697,3,1,09-06-2025
362,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,913899779,1,26,10-06-2025
83,102ІС,Одеса-Головна,Дніпро-Головний,1,Бондаренко,ТК601272,1,29,10-06-2025
170,203ІС,Львів,Івано-Франківськ,2,Бондаренко,279903123,3,24,11-06-2025
484,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Шевченко,673843660,4,6,11-06-2025
286,101ІС+,Київ-Пасажирський,Львів,3,Шевченко,853012719,5,10,11-06-2025
567,678НП,Тернопіль,Хмельницький,19,Коваленко,ТК731909,5,15,14-06-2025
143,203ІС,Львів,Івано-Франківськ,2,Кравченко,ТК520337,3,2,15-06-2025
397,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,ТК462103,1,21,16-06-2025
419,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Кравченко,190103082,5,16,17-06-2025
300,101ІС+,Київ-Пасажирський,Львів,3,Бондаренко,ТК575950,1,16,18-06-2025
368,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,СК420911,1,24,18-06-2025
577,502НП,Львів,Одеса-Головна,21,Кравченко,МК173911,1,3,19-06-2025
424,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Бондаренко,533947253,2,6,20-06-2025
458,304Р,Харків-Пасажирський,Кривий Ріг-Головний,5,Кравченко,ТК653612,5,5,20-06-2025
171,203ІС,Львів,Івано-Франківськ,2,Коваленко,825902638,2,13,21-06-2025
211,101ІС+,Київ-Пасажирський,Львів,3,Коваленко,547903578,3,26,21-06-2025
235,101ІС+,Київ-Пасажирський,Львів,3,Сидоренко,727536027,3,1,23-06-2025
276,101ІС+,Київ-Пасажирський,Львів,3,Шевченко,527428940,5,5,23-06-2025
352,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,290613405,1,23,24-06-2025
394,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,835331352,3,10,24-06-2025
301,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,130761702,5,17,24-06-2025
