id,train Number,train Departure Station,train Arrival Station,train Id,passenger Surname,passport Number,carriage Number,seat Number,departure Date
354,345НШ,Дніпро-Головний,Миколаїв,4,Романенко,СК821453,1,15,02-07-2025
329,345НШ,Дніпро-Головний,Миколаїв,4,Романенко,699083987,3,13,02-07-2025
380,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,ТК876650,1,12,08-07-2025
395,345НШ,Дніпро-Головний,Миколаїв,4,Романенко,АК770290,4,6,10-07-2025
374,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,672094285,2,4,12-07-2025
307,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,395821210,2,7,12-07-2025
345,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,657995832,4,13,20-07-2025
320,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,213873768,5,1,20-07-2025
302,345НШ,Дніпро-Головний,Миколаїв,4,Романенко,АК661653,5,11,20-07-2025
385,345НШ,Дніпро-Головний,Миколаїв,4,Кравченко,698792946,5,23,26-07-2025
351,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,560344245,3,17,04-08-2025
310,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,520960632,4,18,04-08-2025
303,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,926718214,5,16,04-08-2025
327,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,АК550534,5,18,04-08-2025
398,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,АК806371,4,28,08-08-2025
391,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,СК259263,2,29,28-08-2025
325,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,СК752728,1,26,02-09-2025
317,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,ТК532770,2,12,02-09-2025
396,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,850737403,5,20,04-09-2025
359,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,СК174148,2,3,06-09-2025
399,345НШ,Дніпро-Головний,Миколаїв,4,Романенко,673306521,4,5,06-09-2025
340,345НШ,Дніпро-Головний,Миколаїв,4,Романенко,391754678,5,26,14-09-2025
378,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,782976046,3,15,24-09-2025
334,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,228817054,4,2,04-10-2025
383,345НШ,Дніпро-Головний,Миколаїв,4,Кравченко,ТК466667,5,5,04-10-2025
346,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,ТК566653,5,30,04-10-2025
330,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,МК312000,2,10,06-10-2025
343,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,901204617,4,15,06-10-2025
387,345НШ,Дніпро-Головний,Миколаїв,4,Ткаченко,363995172,4,8,08-10-2025
342,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,308353882,5,22,08-10-2025
355,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,ТК597700,2,16,16-10-2025
393,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,565125353,3,15,16-10-2025
312,345НШ,Дніпро-Головний,Миколаїв,4,Романенко,МК667501,1,17,18-10-2025
366,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,МК337180,4,5,24-10-2025
305,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,121989374,2,3,28-10-2025
313,345НШ,Дніпро-Головний,Миколаїв,4,Кравченко,242124841,4,12,04-11-2025
400,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,119429981,5,29,06-11-2025
364,345НШ,Дніпро-Головний,Миколаїв,4,Коваленко,847049797,1,5,10-11-2025
375,345НШ,Дніпро-Головний,Миколаїв,4,Сидоренко,937328661,3,12,16-11-2025
338,345НШ,Дніпро-Головний,Миколаїв,4,Бондаренко,СК381387,5,3,24-11-2025
350,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,ТК341758,4,28,26-11-2025
322,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,СК866729,4,5,02-12-2025
367,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,386899640,4,21,02-12-2025
335,345НШ,Дніпро-Головний,Миколаїв,4,Клименко,ТК906436,5,4,04-12-2025
304,345НШ,Дніпро-Головний,Миколаїв,4,Бондаренко,761686476,4,27,08-12-2025
358,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,АК974999,3,2,10-12-2025
356,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,125831437,5,22,18-12-2025
390,345НШ,Дніпро-Головний,Миколаїв,4,Шевченко,447969088,5,20,20-12-2025
349,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,141478542,3,1,24-12-2025
361,345НШ,Дніпро-Головний,Миколаїв,4,Олійник,898287022,3,15,24-12-2025
363,345НШ,Дніпро-Головний,Миколаїв,4,Поліщук,909090401,1,27,28-12-2025
