id,train Number,train Departure Station,train Arrival Station,train Id,passenger Surname,passport Number,carriage Number,seat Number,departure Date
18,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,773232660,3,27,16-11-2025
4,102ІС,Одеса-Головна,Дніпро-Головний,1,Бондаренко,731639303,2,4,22-11-2025
71,102ІС,Одеса-Головна,Дніпро-Головний,1,Кравченко,СК276775,4,1,22-11-2025
88,102ІС,Одеса-Головна,Дніпро-Головний,1,Клименко,МК723532,1,29,28-11-2025
59,102ІС,Одеса-Головна,Дніпро-Головний,1,Ткаченко,631153108,3,19,28-11-2025
64,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,229875329,5,6,12-12-2025
14,102ІС,Одеса-Головна,Дніпро-Головний,1,Олійник,713137414,5,20,12-12-2025
49,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,МК344972,2,22,14-12-2025
60,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,743850488,1,10,16-12-2025
11,102ІС,Одеса-Головна,Дніпро-Головний,1,Шевченко,ТК760564,2,24,16-12-2025
38,102ІС,Одеса-Головна,Дніпро-Головний,1,Сидоренко,МК233690,3,22,16-12-2025
85,102ІС,Одеса-Головна,Дніпро-Головний,1,Бондаренко,754401548,1,4,18-12-2025
55,102ІС,Одеса-Головна,Дніпро-Головний,1,Поліщук,606467364,1,19,18-12-2025
