trainId,passengerSurname,passportNumber,carriageNumber,seatNumber,departureDate
3,Сидоренко,МК302699,5,29,2025-05-24
3,Олійник,488153739,1,12,2025-03-08
3,Кравченко,694913460,5,23,2025-09-12
3,Ткаченко,ТК529081,5,15,2025-05-13
3,Сидоренко,796852398,1,1,2025-12-23
3,Сидоренко,964667934,5,30,2025-05-01
3,Шевченко,МК641117,3,16,2025-09-18
3,Олійник,СК374094,3,30,2025-11-01
3,Ткаченко,ТК315891,4,20,2025-11-13
3,Романенко,142345338,5,17,2025-07-17
3,Бондаренко,366789897,2,1,2025-06-06
3,Ткаченко,131364979,3,17,2025-01-01
3,Шевченко,527428940,5,5,2025-06-23
3,Поліщук,СК377353,1,1,2025-01-24
3,Бондаренко,МК142153,2,28,2025-05-10
3,Кравченко,АК870904,2,8,2025-08-20
3,Кравченко,221445241,2,25,2025-01-02
3,Кравченко,573661493,5,9,2025-03-18
3,Шевченко,828881331,5,28,2025-08-03
3,Коваленко,ТК194346,5,3,2025-05-14
3,Клименко,МК864980,4,28,2025-01-28
3,Олійник,149831199,3,21,2025-07-27
3,Шевченко,853012719,5,10,2025-06-11
3,Бондаренко,580581370,2,1,2025-11-27
3,Поліщук,ТК884262,3,15,2025-01-08
3,Поліщук,СК135818,2,16,2025-11-06
3,Кравченко,СК681388,4,1,2025-05-19
3,Олійник,СК507286,4,6,2025-11-04
3,Шевченко,АК432276,4,7,2025-01-09
3,Поліщук,ТК202940,3,27,2025-09-27
3,Романенко,253785686,3,4,2025-06-26
3,Олійник,819569633,1,7,2025-02-24
3,Олійник,923136915,3,1,2025-04-17
3,Бондаренко,277176429,3,30,2025-11-06
3,Романенко,МК179246,3,10,2025-10-04
3,Бондаренко,ТК881408,3,11,2025-05-08
3,Бондаренко,ТК575950,1,16,2025-06-18
4,Ткаченко,130761702,5,17,2025-06-24
4,Романенко,АК661653,5,11,2025-07-20
4,Поліщук,926718214,5,16,2025-08-04
4,Бондаренко,761686476,4,27,2025-12-08
4,Клименко,121989374,2,3,2025-10-28
4,Шевченко,185112241,4,19,2025-01-22
4,Ткаченко,395821210,2,7,2025-07-12
4,Коваленко,АК304628,5,29,2025-05-12
4,Сидоренко,СК814083,4,9,2025-05-28
4,Олійник,520960632,4,18,2025-08-04
4,Кравченко,834045810,1,3,2025-05-26
4,Романенко,МК667501,1,17,2025-10-18
4,Кравченко,242124841,4,12,2025-11-04
4,Поліщук,214716493,3,12,2025-03-02
4,Клименко,501052648,3,14,2025-04-16
4,Романенко,АК124963,3,22,2025-05-02
4,Поліщук,ТК532770,2,12,2025-09-02
4,Шевченко,338851601,1,22,2025-02-22
4,Сидоренко,247447599,3,6,2025-04-14
4,Клименко,213873768,5,1,2025-07-20
4,Коваленко,627899703,3,6,2025-02-26
4,Поліщук,СК866729,4,5,2025-12-02
4,Поліщук,181811635,4,2,2025-04-10
4,Ткаченко,ТК678239,3,12,2025-01-26
4,Ткаченко,СК752728,1,26,2025-09-02
4,Шевченко,МК867537,4,22,2025-03-28
4,Клименко,АК550534,5,18,2025-08-04
4,Бондаренко,МК744451,5,2,2025-04-26
4,Романенко,699083987,3,13,2025-07-02
4,Клименко,МК312000,2,10,2025-10-06
4,Кравченко,805596718,1,23,2025-04-18
4,Олійник,ТК978174,3,26,2025-02-12
4,Олійник,204969367,2,13,2025-03-26
4,Клименко,228817054,4,2,2025-10-04
4,Клименко,ТК906436,5,4,2025-12-04
4,Ткаченко,239650753,1,5,2025-03-10
4,Кравченко,205247338,5,15,2025-02-12
4,Бондаренко,СК381387,5,3,2025-11-24
4,Шевченко,863764056,4,13,2025-05-28
4,Романенко,391754678,5,26,2025-09-14
4,Олійник,СК624489,4,25,2025-02-26
4,Клименко,308353882,5,22,2025-10-08
4,Сидоренко,901204617,4,15,2025-10-06
4,Шевченко,МК168815,5,10,2025-01-04
4,Коваленко,657995832,4,13,2025-07-20
4,Коваленко,ТК566653,5,30,2025-10-04
4,Клименко,103284345,2,10,2025-03-22
4,Клименко,389674185,3,30,2025-01-14
4,Поліщук,141478542,3,1,2025-12-24
4,Олійник,ТК341758,4,28,2025-11-26
4,Поліщук,560344245,3,17,2025-08-04
4,Клименко,290613405,1,23,2025-06-24
4,Кравченко,АК960341,4,6,2025-02-12
4,Романенко,СК821453,1,15,2025-07-02
4,Клименко,ТК597700,2,16,2025-10-16
4,Шевченко,125831437,5,22,2025-12-18
4,Сидоренко,121441059,2,2,2025-02-16
4,Олійник,АК974999,3,2,2025-12-10
4,Клименко,СК174148,2,3,2025-09-06
4,Бондаренко,АК968166,4,30,2025-05-08
4,Олійник,898287022,3,15,2025-12-24
4,Поліщук,913899779,1,26,2025-06-10
4,Поліщук,909090401,1,27,2025-12-28
4,Коваленко,847049797,1,5,2025-11-10
4,Шевченко,167744663,4,12,2025-02-10
4,Клименко,МК337180,4,5,2025-10-24
4,Олійник,386899640,4,21,2025-12-02
4,Олійник,СК420911,1,24,2025-06-18
4,Клименко,365062733,2,24,2025-02-04
4,Ткаченко,546754943,1,20,2025-06-02
4,Олійник,МК131042,4,9,2025-04-04
4,Олійник,302246312,4,13,2025-01-12
4,Коваленко,СК113579,4,12,2025-01-10
4,Сидоренко,672094285,2,4,2025-07-12
4,Сидоренко,937328661,3,12,2025-11-16
4,Олійник,ТК704624,3,23,2025-03-26
4,Олійник,АК506356,2,23,2025-01-06
4,Сидоренко,782976046,3,15,2025-09-24
4,Коваленко,219776078,5,8,2025-05-28
4,Шевченко,ТК876650,1,12,2025-07-08
4,Ткаченко,242547656,1,1,2025-04-10
4,Сидоренко,507358741,3,18,2025-02-18
4,Кравченко,ТК466667,5,5,2025-10-04
4,Шевченко,АК941998,5,29,2025-01-02
4,Кравченко,698792946,5,23,2025-07-26
4,Коваленко,429606910,5,27,2025-04-24
4,Ткаченко,363995172,4,8,2025-10-08
4,Ткаченко,ТК845462,5,10,2025-02-20
4,Бондаренко,203075310,3,24,2025-02-06
4,Шевченко,447969088,5,20,2025-12-20
4,Коваленко,СК259263,2,29,2025-08-28
4,Романенко,166289620,4,26,2025-03-04
4,Сидоренко,565125353,3,15,2025-10-16
4,Шевченко,835331352,3,10,2025-06-24
4,Романенко,АК770290,4,6,2025-07-10
4,Коваленко,850737403,5,20,2025-09-04
4,Ткаченко,ТК462103,1,21,2025-06-16
4,Поліщук,АК806371,4,28,2025-08-08
4,Романенко,673306521,4,5,2025-09-06
4,Клименко,119429981,5,29,2025-11-06
5,Поліщук,820216257,5,16,2025-05-07
5,Романенко,191300160,4,25,2025-12-21
5,Коваленко,МК716043,5,28,2025-05-23
5,Клименко,874485703,2,10,2025-10-08
5,Сидоренко,АК429460,1,14,2025-01-23
5,Романенко,985485491,3,26,2025-11-08
5,Шевченко,504148388,2,27,2025-09-02
5,Поліщук,СК884805,4,14,2025-05-04
5,Шевченко,613860606,5,21,2025-08-21
5,Олійник,116789519,2,29,2025-05-19
5,Ткаченко,МК883990,5,8,2025-08-05
5,Олійник,МК360094,5,23,2025-01-19
5,Романенко,АК368837,1,13,2025-08-13
5,Шевченко,265436070,3,7,2025-04-09
5,Сидоренко,243348701,2,20,2025-05-16
5,Кравченко,СК861121,3,6,2025-03-10
5,Ткаченко,403877489,2,20,2025-08-15
5,Клименко,АК336931,2,11,2025-07-11
5,Кравченко,190103082,5,16,2025-06-17
5,Кравченко,446427763,2,29,2025-08-09
5,Поліщук,352581284,4,8,2025-02-09
5,Олійник,МК156153,2,7,2025-04-18
5,Сидоренко,ТК397096,1,15,2025-12-03
5,Бондаренко,533947253,2,6,2025-06-20
5,Шевченко,СК478851,1,15,2025-06-03
5,Бондаренко,МК485816,1,6,2025-02-11
5,Романенко,МК697516,2,9,2025-04-24
5,Поліщук,ТК749295,2,10,2025-03-15
5,Ткаченко,226486501,4,10,2025-09-08
5,Кравченко,ТК397844,4,18,2025-10-09
5,Поліщук,933724586,1,20,2025-07-24
5,Кравченко,СК297198,3,24,2025-01-03
5,Романенко,ТК746729,4,6,2025-02-04
5,Коваленко,387474161,4,21,2025-08-25
5,Ткаченко,ТК500770,4,12,2025-03-20
5,Ткаченко,430009820,2,20,2025-10-14
5,Кравченко,839147069,1,13,2025-10-22
5,Сидоренко,268269355,1,2,2025-06-28
5,Олійник,СК749764,5,18,2025-10-03
5,Бондаренко,101190789,1,30,2025-10-03
5,Кравченко,АК440738,3,30,2025-10-22
5,Олійник,409284102,2,8,2025-01-12
5,Бондаренко,824006931,5,5,2025-11-14
5,Коваленко,ТК910404,1,11,2025-07-09
5,Кравченко,СК680612,3,9,2025-10-22
5,Романенко,МК986986,5,4,2025-07-27
5,Романенко,758926922,2,24,2025-02-09
5,Шевченко,МК235218,4,6,2025-08-01
5,Ткаченко,531750792,1,9,2025-03-01
5,Кравченко,564875467,1,28,2025-07-26
5,Клименко,615797491,4,20,2025-07-17
5,Кравченко,МК506920,4,3,2025-02-24
5,Кравченко,348908744,5,26,2025-07-03
5,Поліщук,299038555,3,24,2025-12-02
5,Романенко,900378769,3,5,2025-04-28
5,Бондаренко,СК381387,1,5,2025-09-10
5,Олійник,МК180768,3,26,2025-04-04
5,Кравченко,ТК653612,5,5,2025-06-20
5,Ткаченко,521744996,3,7,2025-06-06
5,Шевченко,427333155,1,30,2025-01-03
5,Романенко,МК688223,1,19,2025-04-08
5,Олійник,ТК554151,5,3,2025-01-18
5,Олійник,795499189,1,20,2025-01-28
5,Кравченко,МК695907,2,5,2025-09-08
5,Сидоренко,АК780224,3,6,2025-03-07
5,Сидоренко,848734102,5,4,2025-01-10
5,Кравченко,МК984146,5,21,2025-12-25
5,Олійник,981783616,2,21,2025-09-13
5,Поліщук,АК552799,1,18,2025-07-05
5,Кравченко,МК835590,2,26,2025-01-28
5,Шевченко,488239019,1,7,2025-08-26
5,Олійник,СК144288,1,4,2025-11-24
5,Ткаченко,139399599,3,7,2025-01-01
5,Олійник,922032410,1,1,2025-02-14
5,Поліщук,346659688,5,21,2025-02-04
5,Олійник,ТК893284,3,8,2025-08-05
5,Романенко,АК402714,1,3,2025-09-26
5,Шевченко,ТК152881,3,25,2025-02-16
5,Поліщук,ТК522418,3,11,2025-02-13
5,Поліщук,МК485536,5,23,2025-08-25
5,Ткаченко,ТК505030,3,28,2025-08-11
5,Олійник,188175622,5,27,2025-02-08
5,Романенко,467444582,2,27,2025-10-26
5,Шевченко,673843660,4,6,2025-06-11
5,Поліщук,АК454436,3,18,2025-09-15
5,Сидоренко,585379757,4,18,2025-10-25
5,Сидоренко,869018265,3,18,2025-05-28
5,Шевченко,МК302425,1,29,2025-08-02
5,Поліщук,МК922095,4,27,2025-01-13
5,Олійник,ТК496219,3,23,2025-11-09
5,Коваленко,608863154,1,26,2025-06-28
5,Олійник,622928951,2,21,2025-10-28
5,Поліщук,805958483,4,29,2025-02-20
5,Ткаченко,АК738825,5,16,2025-07-05
5,Сидоренко,893297485,2,21,2025-02-24
5,Бондаренко,345007052,2,3,2025-11-02
5,Клименко,МК416268,2,17,2025-11-23
5,Поліщук,СК477270,1,12,2025-11-06
5,Олійник,631497184,2,21,2025-10-05
5,Кравченко,726759086,5,26,2025-09-15
6,Шевченко,ТК572907,2,23,2025-06-02
6,Романенко,СК445874,4,29,2025-04-10
6,Олійник,СК260708,5,28,2025-02-16
6,Бондаренко,СК404747,4,24,2025-08-02
6,Бондаренко,ТК141921,4,15,2025-09-02
7,Олійник,ТК624138,5,22,2025-04-12
7,Клименко,521376419,3,6,2025-06-04
7,Шевченко,МК919413,2,6,2025-03-28
7,Шевченко,728496950,5,13,2025-07-10
7,Кравченко,АК513710,5,29,2025-10-04
8,Олійник,523571104,1,4,2025-08-25
8,Кравченко,964416996,3,26,2025-12-19
8,Сидоренко,623906272,1,10,2025-02-25
8,Поліщук,АК231183,4,15,2025-05-25
8,Олійник,293715277,3,30,2025-07-13
9,Коваленко,120498143,3,15,2025-02-04
9,Шевченко,287933969,5,15,2025-07-12
9,Олійник,272635720,5,10,2025-07-16
9,Сидоренко,822733550,1,4,2025-04-21
9,Шевченко,МК877256,3,3,2025-03-09
10,Сидоренко,СК752704,2,12,2025-02-28
10,Ткаченко,265349480,2,27,2025-12-12
10,Кравченко,507882120,5,27,2025-11-22
10,Коваленко,509663910,3,5,2025-11-04
10,Сидоренко,661643154,2,20,2025-11-24
11,Коваленко,427748905,2,20,2025-01-05
11,Олійник,АК158072,5,21,2025-12-13
11,Романенко,561091878,1,12,2025-02-19
11,Поліщук,МК791286,3,24,2025-03-17
11,Поліщук,468488944,4,5,2025-02-05
12,Кравченко,184664350,3,11,2025-01-10
12,Романенко,798851906,1,4,2025-05-11
12,Поліщук,АК518525,4,28,2025-12-21
12,Романенко,АК630242,5,28,2025-05-05
12,Романенко,261926752,4,4,2025-05-09
13,Поліщук,736102983,2,30,2025-12-11
13,Коваленко,457638002,1,29,2025-12-23
13,Шевченко,ТК241946,1,2,2025-02-21
13,Кравченко,МК614312,5,18,2025-04-21
13,Сидоренко,128664196,3,24,2025-09-09
14,Шевченко,300501122,4,5,2025-10-13
14,Клименко,МК953540,2,7,2025-10-18
14,Кравченко,ТК457399,3,30,2025-08-28
14,Кравченко,303429004,2,25,2025-11-04
14,Кравченко,АК941196,2,16,2025-12-13
15,Клименко,871169209,3,20,2025-12-02
15,Олійник,СК887521,1,30,2025-02-13
15,Олійник,581838862,3,6,2025-07-09
15,Клименко,АК364135,5,4,2025-12-15
15,Бондаренко,898167643,3,18,2025-01-09
16,Ткаченко,АК921478,2,18,2025-01-19
16,Коваленко,696904247,2,23,2025-05-25
16,Коваленко,МК866447,3,1,2025-10-05
16,Шевченко,525261065,4,26,2025-12-02
16,Ткаченко,992299041,1,18,2025-07-07
17,Коваленко,945060628,4,16,2025-07-05
17,Олійник,952480999,5,10,2025-09-09
17,Шевченко,СК939918,4,13,2025-09-05
17,Ткаченко,567436639,4,20,2025-10-15
17,Кравченко,СК541678,4,19,2025-12-25
18,Кравченко,221873403,1,29,2025-05-21
18,Клименко,742623037,3,22,2025-07-14
18,Романенко,МК419264,3,3,2025-03-17
18,Кравченко,ТК837007,5,2,2025-05-19
18,Кравченко,123951100,4,2,2025-03-13
19,Шевченко,МК720537,5,23,2025-01-10
19,Коваленко,ТК731909,5,15,2025-06-14
19,Сидоренко,776311939,1,8,2025-02-18
19,Бондаренко,813515152,4,22,2025-12-18
19,Олійник,АК438345,1,8,2025-02-26
20,Коваленко,МК367625,5,29,2025-03-19
20,Клименко,ТК884867,5,11,2025-10-14
20,Бондаренко,454144781,1,2,2025-05-20
20,Коваленко,МК951734,5,23,2025-03-04
20,Сидоренко,МК518626,5,19,2025-02-17
21,Кравченко,466399620,3,22,2025-03-17
21,Кравченко,МК173911,1,3,2025-06-19
21,Поліщук,869256069,2,4,2025-08-01
21,Романенко,914589948,4,12,2025-02-09
21,Ткаченко,МК736272,5,10,2025-07-19
22,Бондаренко,АК956880,4,28,2025-11-28
22,Коваленко,290294581,3,29,2025-07-20
22,Шевченко,878696037,4,20,2025-03-28
22,Поліщук,МК189395,4,28,2025-11-18
22,Коваленко,991623392,3,30,2025-10-02
23,Олійник,589982683,1,20,2025-01-03
23,Романенко,699083987,5,17,2025-11-22
23,Олійник,862152011,2,28,2025-02-07
23,Ткаченко,347890830,5,11,2025-09-08
23,Ткаченко,МК799741,1,17,2025-08-28
24,Ткаченко,538586817,4,28,2025-06-08
